abandon,abandonment
bewilder,bewilderment
bias,bias
commemorate,bicentenary
commemorate,bicentennial
bicker,bickering
bid,bid
obey,bidding
bid,bidding
bifurcate,bifurcation
denominate,bill
apply,bill
pay,bill
bill,billing
bind,bind
binge,binge
bear,birth
commemorate,birthday
bisect,bisection
bite,bite
blacklist,blacklisting
blame,blame
blast,blast
blazon,blazonry
bleed,bleeding
blend,blend
bless,blessing
blink,blink
rise,blip
blip,blip
block,blockade
blockade,blockade
block,blockage
block,blocking
hit,blow
blow,blow
blunder,blunder
boast,boast
bombard,bombardment
bomb,bombing
boom,bonanza
contract,bond
bond,bond
give,bonus
hire,booking
reserve,booking
book,booking
boom,boom
boost,boost
bore,boredom
borrow,borrowing
bottle,bottling
bounce,bounce
give,bounty
box,boxing
bracket,bracket
brainstorm,brainstorming
brave,bravery
brawl,brawl
breach,breach
pause,break
decrease,break
break,break
break,breakage
break,breaking
achieve,breakthrough
breathe,breath
breath,breath
pause,breather
breathe,breathing
breed,breeding
brew,brewing
bribe,bribe
bribe,bribery
brief,brief
brief,briefing
bring,bringing
begin,brink
broadcast,broadcast
broadcast,broadcasting
effect,brunt
encounter,brush
brush,brush
blame,buck
budget,budget
bugger,buggery
bug,bugging
build,building
bunt,bunt
burden,burden
rob,burglary
burgle,burglary
bury,burial
burn,burn
burn,burning
burst,burst
stretch,bus
cooperate,business
patronize,business
move,bustle
bustle,bustle
butcher,butchery
buy,buying
imprison,cage
cajole,cajolery
calcine,calcination
calculate,calculation
schedule,calendar
calibrate,calibration
call,call
call,calling
advertise,campaign
campaign,campaign
travel,canal
canalize,canalization
cancel,canceling
cancel,cancellation
cannibalize,cannibalism
can,canning
canonize,canonization
sing,cant
cant,cant
limit,cap
capitalize,capitalization
capitulate,capitulation
captain,captain
capture,capture
capture,capturing
carbonize,carbonization
care,care
caricature,caricature
destroy,carnage
commemorate,carnival
carouse,carousal
carpet,carpeting
carp,carping
carry,carrying
carve,carving
sue,case
try,case
prove,case
cast,cast
castigate,castigation
cast,casting
castrate,castration
hurt,casualty
catalyze,catalysis
catch,catch
catechize,catechism
cater,catering
cause,causation
sue,cause
journey,causeway
caution,caution
limit,ceiling
celebrate,celebration
censor,censorship
tally,census
census,census
commemorate,centenary
commemorate,centennial
centralize,centralization
celebrate,ceremony
prove,certificate
certify,certification
cease,cessation
cede,cession
chagrin,chagrin
govern,chairmanship
challenge,challenge
win,championship
champion,championship
chance,chance
change,changing
chant,chant
characterize,characterization
entrust,charge
charge,charge
charge,charging
charm,charm
chart,chart
rent,charter
grant,charter
chase,chase
chastise,chastisement
chat,chat
cheat,cheating
give,check
control,check
check,check
cheer,cheer
prove,chit
chlorinate,chlorination
choose,choice
choose,choosing
work,chore
record,chronicle
circle,circuit
circulate,circulation
circumcise,circumcision
paraphrase,circumlocution
circumnavigate,circumnavigation
circumscribe,circumscription
circumvent,circumvention
cite,citation
enroll,citizenship
clamor,clamor
clamp,clamp
clang,clanging
clarify,clarification
clash,clash
teach,class
classify,classification
limp,claudication
cheat,cleaner
approve,clearance
clear,clearance
clear,clearing
climax,climax
climb,climb
climb,climbing
clip,clipping
cloak,cloak
clog,clogging
clone,clone
close,close
closing,closing
closing,closing
close,closing
close,closure
stop,cloture
cloud,clouding
hint,clue
co-opt,co-optation
coagulate,coagulation
coalesce,coalescence
coat,coat
coat,coating
depend,coattail
rule,code
codify,codification
code,coding
coerce,coercion
coexist,coexistence
generate,cogeneration
cogenerate,cogeneration
cogitate,cogitation
cohabit,cohabitation
cohere,coherence
cohere,cohesion
coil,coil
coin,coinage
coincide,coincidence
collaborate,collaboration
combine,collage
collapse,collapse
limit,collar
secure,collateral
collate,collation
collect,collectability
collect,collecting
collectivize,collectivization
collide,collision
collocate,collocation
meet,colloquium
collude,collusion
colonize,colonization
color,colorization
combat,combat
explode,combustion
combust,combustion
return,comeback
sentence,comeuppance
comfort,comfort
command,commandment
commemorate,commemoration
commend,commendation
comment,comment
comment,commentary
trade,commerce
commercialize,commercialization
commiserate,commiseration
charge,commission
commit,commission
commission,commissioning
commit,commital
commit,commitment
share,common
differ,commonality
disturb,commotion
communicate,communique
communication,communique
commute,commutation
commute,commute
compare,comparability
compare,comparison
differ,compatibility
compete,competitiveness
compile,compilation
complement,complementation
comply,compliance
complicate,complication
compliment,compliment
comport,comportment
compose,composure
compound,compounding
comprehend,comprehension
compress,compression
compromise,compromise
compute,computation
compute,computing
con,con
conceal,concealment
decorate,conceit
concentrate,concentrate
conceive,concept
conceive,conception
conceptualize,conceptualization
give,concession
concede,concession
conciliate,conciliation
conclude,conclusion
concoct,concoction
concur,concurrence
concuss,concussion
condemn,condemnation
condense,condensation
condescend,condescension
condition,condition
comfort,condolence
condone,condonation
conduct,conduct
conduct,conduction
confabulate,confabulation
confederate,confederation
confer,conference
confer,conferment
confess,confession
assure,confidence
confide,confidence
configure,configuration
confine,confine
confine,confinement
appoint,confirmation
confirm,confirmation
confiscate,confiscation
mix,conflation
conflate,conflation
clash,conflict
conflict,conflict
combine,confluence
conform,conformation
argue,confrontation
confront,confrontation
confute,confutation
conglomerate,conglomeration
congratulate,congratulation
meet,congress
conjugate,conjugation
associate,conjunction
conjoin,conjunction
conjure,conjuration
associate,connection
connect,connection
connive,connivance
connote,connotation
conquer,conquest
behave,conscience
conscript,conscription
consecrate,consecration
agree,consensus
consent,consent
cause,consequence
conserve,conservancy
conserve,conservation
lead,conservatorship
pay,consideration
consign,consigning
consist,consistence
consolidate,consolidation
conspire,conspiracy
fear,consternation
constipate,constipation
constrain,constraint
constrict,constriction
construct,constructing
construe,construction
construct,construction
consult,consultation
consult,consulting
consume,consuming
consummate,consummation
contain,containment
contaminate,contamination
contemplate,contemplation
scorn,contempt
disagree,contention
contend,contention
content,contentment
compete,contest
contest,contest
continue,continuance
continue,continuation
contort,contortion
contract,contract
contract,contracting
decline,contraction
contract,contraction
contradict,contradiction
contravene,contravention
control,controlling
contuse,contusion
convalesce,convalescence
meet,convention
convene,convention
converge,convergence
converse,conversation
convert,conversion
convert,convertibility
carry,conveyance
convict,conviction
believe,conviction
meet,convocation
convoke,convocation
disrupt,convulsion
convulse,convulsion
cook,cooking
cool,cooling
cooperate,cooperative
copulate,copulation
copy,copying
corner,corner
correct,correction
correlate,correlation
correspond,correspondence
corroborate,corroboration
corrode,corrosion
corrugate,corrugation
contaminate,corruption
corrupt,corruption
cost,cost
advise,counsel
counsel,counseling
anticipate,countdown
look,countenance
act,counter-measure
counteract,counteraction
bid,counterbid
sue,countersuit
count,counting
assassinate,coup
couple,coupling
discount,coupon
teach,course
court,courtship
agree,covenant
insure,coverage
cover,coverage
crack,crack
crash,crashlet
crave,craving
credit,credential
credit,credit
credit,crediting
cremate,cremation
name,crest
threaten,crime
require,criterion
criticize,criticism
cross,cross
cross-examine,cross-examination
cross-fertilize,cross-fertilization
fire,crossfire
cruise,cruise
desire,crusade
crusade,crusade
love,crush
cry,cry
crystallize,crystallization
follow,cue
perpetrate,culprit
cultivate,cultivation
curb,curb
curse,curse
curtail,curtailment
cushion,cushion
care,custody
customize,custom
cut,cut
cut,cutting
fool,dalliance
dally,dalliance
obstruct,dam
compensate,damage
damage,damage
damn,damnation
limit,damper
dance,dance
dance,dancing
dash,dash
meet,date
inform,datum
start,dawn
dawn,dawning
de-emphasize,de-emphasis
de-escalate,de-escalation
stall,deadlock
amount,deal
agree,deal
deal,deal
deal,dealing
die,death
debark,debarkation
contaminate,debasement
debase,debasement
debate,debate
debauch,debauchery
loan,debenture
loan,debt
debut,debut
decapitate,decapitation
decay,decay
decease,decease
decentralize,decentralization
deceive,deception
decimalize,decimalization
declare,declaration
declassify,declassification
decline,declination
decline,decline
decolonize,decolonization
decompose,decomposition
decompress,decompression
decontaminate,decontamination
behave,decorum
decrease,decrease
decree,decree
deduct,deductibility
deduce,deduction2
do,deed
deepen,deepening
deface,defacement
defame,defamation
default,default
defeat,defeat
defecate,defecation
defect,defection
defend,defense
defer,deference
defer,deferment
defer,deferral
defy,defiance
decline,deficit
defile,defilement
sharpen,definition
deflate,deflation
deflect,deflection
defoliate,defoliation
defray,defrayal
defray,defrayment
degenerate,degeneration
ruin,degradation
degrade,degradation
extend,degree
credit,degree
deify,deification
delay,delay
represent,delegation
delete,deletion
deliberate,deliberation
delight,delight
delimit,delimitation
delineate,delineation
remove,delisting
deliver,deliverance
deliver,delivery
believe,delusion
delude,delusion
delve,delving
demagnetize,demagnetization
libel,demagoguery
demand,demand
demarcate,demarcation
demean,demeanor
die,demise
demonstrate,demo
demobilize,demobilization
democratize,democratization
demolish,demolition
demonetize,demonetization
protest,demonstration
demonstrate,demonstration
demoralize,demoralization
demote,demotion
denationalize,denationalization
deny,denial
denigrate,denigration
flaw,dent
dent,dent
denude,denudation
denounce,denunciation
depart,departure
depend,dependence
depend,dependency
deplete,depletion
deploy,deployment
depopulate,depopulation
deport,deportation
deport,deportment
deposit,deposit
interrogate,deposition
deprecate,deprecation
depreciate,depreciation
ravage,depredation
deprive,deprivation
depute,deputation
assist,deputy
derail,derailment
derange,derangement
deregulate,deregulation
deregulate,deregulaton
deride,derision
derive,derivation
derive,derivative
disparage,derogation
derogate,derogation
desalinate,desalination
desalinize,desalinization
come,descent
descend,descent
describe,description
desecrate,desecration
desegregate,desegregation
desensitize,desensitization
desert,desertion
design,design
designate,designation
design,designing
desire,desire
desolate,desolation
despair,desperation
destine,destination
destine,destiny
destroy,destruction
detach,detachment
detect,detection
detain,detention
deteriorate,deterioration
determine,determination
deter,deterrence
detest,detestation
dethrone,dethronement
detonate,detonation
detoxify,detoxification
detract,detraction
detribalize,detribalization
evaluate,devaluation
devaluate,devaluation
devastate,devastation
develop,developing
develop,development
devitalize,devitalization
test,diagnostics
discuss,dialogue
separate,dialysis
separate,dichotomy
dicker,dickering
rule,dictate
pronounce,diction
say,dictum
eat,diet
differ,difference
differ,differential
differentiate,differentiation
diffract,diffraction
diffuse,diffusion
inhabit,dig
dig,dig
digest,digestion
dig,digging
digress,digression
dilate,dilation
decide,dilemma
dilute,dilution
dime,diming
diminish,diminution
dip,dip
direct,directive
disable,disablement
fight,disadvantage
alienate,disaffection
disassociate,disaffiliation
disagree,disagreement
disappear,disappearance
disapprove,disapprobation
disapprove,disapproval
disarm,disarmament
disarm,disarming
disarrange,disarrangement
disavow,disavowal
disband,disbanding
disband,disbandment
disbelieve,disbelief
disburse,disbursement
discern,discernment
discharge,discharge
train,discipline
disclose,disclosure
discolor,discoloration
discolour,discolouration
confuse,discombobulation
discombobulate,discombobulation
discomfit,discomfiture
discomfit,discomfort
discompose,discomposure
discontent,discontent
discontinue,discontinuance
discontinue,discontinuation
disagree,discord
discount,discount
discount,discounting
discourage,discouragement
talk,discourse
discourse,discourse
discover,discovery
discredit,discrediting
differ,discrepancy
discriminate,discrimination
discuss,discussion
disembark,disembarkation
disembarrass,disembarrassment
disenchant,disenchantment
disengage,disengagement
disentangle,disentanglement
disestablish,disestablishment
disfavor,disfavor
disfigure,disfigurement
disfranchise,disfranchisement
disgorge,disgorgement
disgrace,disgrace
disgust,disgust
disillusion,disillusion
disillusion,disillusionment
disincline,disinclination
disinfect,disinfection
disinfest,disinfestation
disinherit,disinheritance
disintegrate,disintegration
disinter,disinterment
dislike,dislike
dislocate,dislocation
dislodge,dislodgement
dismantle,dismantlement
dismay,dismay
dismember,dismemberment
disobey,disobedience
disorder,disorder
disorganize,disorganization
disparage,disparagement
differ,disparity
dispatch,dispatch
exempt,dispensation
dispense,dispensation
disperse,dispersal
disperse,dispersion
displace,displacement
displace,displacing
display,display
displease,displeasure
dispose,disposable
use,disposal
dispose,disposal
dispossess,dispossession
dispute,disputation
dispute,dispute
disqualify,disqualification
disregard,disregard
disrupt,disruption
dissect,dissection
disseminate,dissemination
dissent,dissent
injure,disservice
dissent,dissident
dissimulate,dissimulation
dissipate,dissipation
dissociate,dissociation
dissolve,dissolution
contrast,dissonance
dissuade,dissuasion
dislike,distaste
distend,distension
distinguish,distinction
distort,distortion
distract,distraction
upset,distress
distress,distress
distribute,distribution
divide,districting
district,districting
trust,distrust
distrust,distrust
disturb,disturbance
divagate,divagation
dive,dive
diverge,divergence
diversify,diversification
divert,diversion
divest,divestiture
divest,divestment
divide,divide
earn,dividend
divine,divination
divide,division
divulge,divulgence
dock,docking
credit,doctorate
rule,doctrine
document,documentation
possess,domain
domesticate,domestication
dominate,dominance
dominate,domination
dispense,dosage
double,doubling
doubt,doubt
decrease,down
decline,downdraft
downgrade,downgrade
downgrade,downgrading
down,downing
shrink,downsizing
downsize,downsizing
decline,downtrend
decline,downturn
draft,drafting
drain,drain
drain,drainage
adapt,dramatization
dramatize,dramatization
draw,drawing
dread,dread
dream,dream
drench,drenching
dress,dressing
drift,drift
drill,drilling
drink,drink
drink,drinking
advertise,drive
drive,drive
drive,driving
drop,drop
defeat,drubbing
drub,drubbing
drudge,drudgery
request,drumbeat
owe,due
fight,duel
duel,duel
duel,dueling
duplicate,duplication
argue,dust-up
tax,duty
oblige,duty
dye,dying
listen,ear
earn,earning
ease,easing
eavesdrop,eavesdropping
ebb,ebb
rank,echelon
echo,echo
gain,edge
edify,edification
edit,edition
educate,eduction
efface,effacement
effect-verb,effect
effervesce,effervescence
try,effort
affront,effrontery
ejaculate,ejaculation
eject,ejection
elaborate,elaboration
elate,elation
elect,election
electrify,electrification
electrocute,electrocution
electrify,electrolysis
elevate,elevation
elicit,elicitation
eliminate,elimination
elide,elision
elongate,elongation
elope,elopement
elucidate,elucidation
emaciate,emaciation
emanate,emanation
emancipate,emancipation
emasculate,emasculation
embalm,embalmment
embargo,embargo
embark,embarkation
embarrass,embarrassment
embellish,embellishment
embezzle,embezzlement
embitter,embitterment
embody,embodiment
emend,emendation
emerge,emergence
emigrate,emigration
emit,emission
emphasize,emphasis
employ,employment
emulate,emulation
encamp,encampment
enchant,enchantment
encircle,encirclement
enclose,enclosure
encounter,encounter
encourage,encouragement
encroach,encroachment
aim,end
end,end
endanger,endangerment
endear,endearment
endeavor,endeavor
end,ending
endorse,endorsement
endure,endurance
enforce,enforcement
enfranchise,enfranchisement
contract,engagement
engage,engagement
engineer,engineering
enlarge,engorgement
engorge,engorgement
enhance,enhancement
enjoy,enjoyment
enlarge,enlargement
enlighten,enlightenment
enlist,enlistment
ennoble,ennoblement
enrich,enrichment
enroll,enrolment
enslave,enslavement
entangle,entanglement
entertain,entertainment
enthrone,enthronement
entice,enticement
entitle,entitlement
enter,entrance
entreat,entreaty
entrench,entrenchment
enumerate,enumeration
enunciate,enunciation
envelope,envelopment
envy,envy
spread,epidemic
experience,episode
equal,equality
equalize,equalization
equip,equipment
value,equity
eradicate,eradication
erase,erasure
erect,erection
erode,erosion
err,error
erupt,eruption
escalate,escalation
escape,escape
escape,escapement
hold,escrow
escrow,escrow
spy,espionage
espouse,espousal
establish,establishing
esteem,esteem
estimate,estimate
estimate,estimation
estrange,estrangement
rule,ethic
rule,etiquette
evacuate,evacuation
evaluate,evaluation
evaporate,evaporation
evade,evasion
start,eve
happen,event
evict,eviction
evolve,evolution
exacerbate,exacerbation
exact,exaction
exaggerate,exaggeration
exalt,exaltation
exhaust,exasperation
exasperate,exasperation
excavate,excavation
excel,excellence
exclude,exception
object,exception
except,exception
extract,excerpt
exceed,excess
sell,exchange
exchange,exchange
exchange,exchangeability
excise,excision
excite,excitement
exclaim,exclamation
excogitate,excogitation
excommunicate,excommunication
excoriate,excoriation
excrete,excretion
travel,excursion
digress,excursus
excuse,excuse
execrate,execration
execute,execution
exemplify,exemplification
exercise,exercise
exercise,exercising
exert,exertion
exhale,exhalation
exhaust,exhaustion
exhibit,exhibit
exhilarate,exhilaration
exhort,exhortation
exhume,exhumation
exile,exile
exist,existence
exist,existing
exit,exit
leave,exodus
exonerate,exoneration
exorcise,exorcism
expand,expanding
expand,expansion
expand,expansionism
expect,expectancy
expect,expectation
expedite,expedition
spend,expenditure
expend,expense
experiment,experiment
experiment,experimentation
expiate,expiation
expire,expiration
expire,expiry
explain,explanation
do,exploit
exploit,exploitation
explore,exploration
explode,explosion
expel,explusion
export,export
export,exportation
expostulate,expostulation
expose,exposure
expropriate,expropriation
expel,expulsion
expurgate,expurgation
extend,extension
extenuate,extenuation
exterminate,extermination
extirpate,extirpation
extort,extortion
extradite,extradition
extrapolate,extrapolation
extricate,extrication
squeeze,extrusion
extrude,extrusion
exult,exultation
see,eye
view,eyeful
fabricate,fabrication
experience,face
rethink,face
contradict,face
face,facing
happen,fact
factor,factoring
trend,fad
fail,failure
faint,fainting
believe,faith
fall,fall
falsify,falsification
familiarize,familiarization
like,fancy
eat,fare
admit,fare
greet,farewell
farm,farming
behave,fashion
destine,fate
fate,fate
crack,fault
fault,fault
give,favor
favor,favoritism
fax,fax
fear,fear
do,feat
price,fee
feed,feeding
understand,feel
feel,feel
feel,feeling
felicitate,felicitation
threaten,felony
ferment,fermentation
fertilize,fertilization
commemorate,fest
commemorate,festival
commemorate,festivity
obsess,fetish
feud,feud
obsess,fever
tinker,fiddling
fiddle,fiddling
fight,fight
fight,fighting
figure,figure
file,file
filibuster,filibuster
file,filing
fill,filling
lay,film
film,film
filter,filtration
compete,final
finance,finance
finance,financing
find,find
find,finding
fine,fine
finish,finish
burn,fire
happen,fire
fire,fire
fight,firefighting
firefight,firefighting
fire,firing
firm,firming
fish,fishing
divide,fission
fit,fit
fit,fitment
fix,fix
concentrate,fixation
fixate,fixation
signal,flag
flagellate,flagellation
argue,flap
flap,flap
flash,flash
flatter,flattery
flee,flight
do,fling
decide,flip-flop
flirt,flirtation
float,floatation
flow,flood
flood,flooding
float,flotation
flow,flow
fluctuate,fluctuation
fluoridate,fluoridation
fluoridize,fluoridization
flute,fluting
focus,focus
fold,foldability
fold,folding
follow,following
foment,fomentation
fool,fooling
begin,foothold
foot,footing
communicate,footnote
attack,foray
foray,foray
restrain,forbearance
forbear,forbearance
forecast,forecast
forecast,forecasting
foreclose,foreclosure
forfeit,forfeiture
forge,forging
formalize,formalism
fornicate,fornication
fortify,fortification
fossilize,fossilization
foul,fouling
found,foundation
found,founding
founder,foundry
argue,fracas
fragment,fragmentation
simplify,fragrantization
franchise,franchise
fraternize,fraternization
cheat,fraud
free,freedom
free,freeing
freeze,freeze
freeze,freezing
argue,friction
battle,front
fructify,fructification
simplify,fruitification
happen,fruition
fulfill,fulfillment
fulfill,fulfilment
fulminate,fulmination
fumigate,fumigation
enjoy,fun
celebrate,function
function,function
function,functioning
fund,fund
fund,funding
furnish,furnishing
attack,fusillade
blend,fusing
fuse,fusing
blend,fusion
fuse,fusion
gain,gain
galvanize,galvanism
gamble,gamble
play,game
deceive,game
vary,gamut
divide,gap
gasify,gasification
stretch,gateway
gather,gathering
generalize,general
generalize,generalization
generate,generating
begin,genesis
murder,genocide
genuflect,genuflection
germinate,germination
divide,gerrymandering
gerrymander,gerrymandering
gesticulate,gesticulation
gesture,gesture
give,gift
gin,gin
glamorize,glamorization
glance,glance
glare,glare
glimmer,glimmer
view,glimpse
glimpse,glimpse
globalize,globalization
glorify,glorification
permit,go-ahead
try,goal
gossip,gossip
govern,governance
govern,governing
govern,government
grab,grab
graduate,graduation
grant,grant
grasp,grasp
gratify,gratification
gratify,gratifying
award,gratuity
gravitate,gravitation
gray,graying
graze,grazing
grease,grease
simplify,greenification
gray,greening
green,greening
greet,greeting
grieve,greif
jam,gridlock
disagree,gridlock
grieve,grief
complain,grievance
grieve,grievance
accept,grip
grip,grip
gripe,gripe
base,ground
ground,ground
establish,grounding
ground,grounding
grow,growing
grow,growth
resent,grudge
guarantee,guarantee
guess,guess
guess,guesswork
guide,guidance
pretend,guise
suspect,gut
confide,gut
gyrate,gyration
inhabit,habitation
habituate,habituation
infuriate,hackles
halt,halt
gain,hand
accompany,hand
applaud,hand
befriend,hand
try,hand
greet,hand
participate,hand
rule,handbook
cooperate,handholding
hand,handing
handle,handling
happen,happening
complain,harangue
harangue,harangue
harass,harassment
harm,harm
harmonize,harmonization
harvest,harvest
harvest,harvesting
hurry,haste
hate,hatred
haul,haulage
disturb,havoc
harm,hazard
peak,head
heal,healing
review,hearing
heed,heart
reverse,heart
pressure,heat
blame,heat
heat,heat
heat,heating
hedge,hedging
succeed,heel
steal,heist
heist,heist
lead,helm
hemorrhage,hemorrhaging
herd,herding
inherit,heritage
hesitate,hesitance
hesitate,hesitation
peak,heyday
hibernate,hibernation
travel,highway
rise,hike
hike,hike
walk,hiking
hike,hiking
hinder,hindrances
hint,hint
hire,hiring
experience,history
record,history
hit,hit
associate,hitch
hoard,hoard
hog,hog
hoist,hoist
hoist,hoisting
hold,hold
hold,holding
trouble,hole
celebrate,holiday
respect,homage
comfort,home
come,homecoming
work,homework
honor,honor
hope,hope
aim,horizon
view,horizon
hospitalize,hospitalization
kidnap,hostage
celebrate,house
work,housework
inhabit,housing
howl,howl
hug,hug
humiliate,humiliation
suspect,hunch
hunger,hunger
hunt,hunt
hunt,hunting
obstruct,hurdle
hurry,hurry
farm,husbandry
combine,hybrid
hydrogenate,hydrogenation
exaggerate,hype
promote,hyping
hype,hyping
hypnotize,hypnotism
indicate,idea
idealize,idealism
idealize,idealization
identify,identification
identify,identity
idle,idling
idolize,idolization
ill-treat,ill-treatment
ill-use,ill-usage
misbehave,illegality
illustrate,illustration
represent,imagery
imagine,imagination
balance,imbalance
imitate,imitation
immerse,immersion
immigrate,immigration
immobilize,immobilization
immolate,immolation
immunize,immunization
impact,impact
impale,impalement
disagree,impasse
impeach,impeachment
impede,impediment
need,imperative
mimic,impersonation
impersonate,impersonation
motivate,impetus
impinge,impingement
implant,implant
implant,implantation
implicate,implication
implode,implosion
import,import
import,importation
impose,imposition
impoverish,impoverishment
imprecate,imprecation
feel,impression
impress,impression
imprison,imprisonment
misbehave,impropriety
improve,improvement
improve,improving
improvise,improvisation
exempt,impunity
impute,imputation
deactivate,inactivation
inaugurate,inauguration
incarcerate,incarceration
incarnate,incarnation
induce,incentive
begin,inception
rape,incest
occur,incidence
happen,incident
incinerate,incineration
incise,incision
incite,incitement
incline,inclination
inclose,inclosure
include,inclusion
earn,income
argue,incompatibility
inconvenience,inconvenience
incorporate,incorporation
increase,increase
incriminate,incrimination
incubate,incubation
incur,incursion
indemnify,indemnification
indemnify,indemnity
indent,indentation
indenture,indenture
index,indexation
index,indexing
indicate,indication
indicate,indicative
indict,indictment
worry,indifference
insult,indignity
indoctrinate,indoctrination
induce,inducement
indulge,indulgence
industrialize,industrialization
inebriate,inebriation
begin,infancy
infatuate,infatuation
infect,infection
infer,inference
infest,infestation
fight,infighting
infiltrate,infiltration
inflame,inflammation
inflate,inflation
inflect,inflection
inflict,infliction
flow,inflow
influence,influence
flow,influx
inform,information
violate,infraction
infringe,infringement
ingest,ingestion
inhale,inhalation
inhibit,inhibition
initiate,initiation
inject,injection
ban,injunction
injure,injury
innovate,innovation
inoculate,inoculation
insert,input
comment,input
input,input
inquire,inquisition
inscribe,inscription
inseminate,insemination
worry,insensitivity
insert,insertion
understand,insight
insinuate,insinuation
insist,insistence
inspect,inspection
inspire,inspiration
pay,installment
instigate,instigation
instill,instillation
institute,institution
instruct,instruction
insult,insult
insure,insurance
rebel,insurgent
inform,intelligence
intensify,intensification
intend,intent
intend,intention
interact,interaction
intercept,interception
